Period,Account,Amount
2025-12,9100.01,3852.67
2025-12,9100.02,953.97
2025-12,9100.03,1408.17
2025-12,9100.04,582.92
2025-12,9100.05,2281.8
2026-01,5100.01,696983.05
2026-01,5100.02,477789.63
2026-01,5100.03,349648.11
2026-01,5100.04,390146.68
2026-01,5100.05,270966.36
2026-01,5100.06,209747.18
2026-01,5100.07,132733.74
2026-01,5100.08,56113.74
2026-01,5200.01,42593.41
2026-01,5200.02,14245.58
2026-01,5200.03,21058.4
2026-01,5300.01,243628.97
2026-01,5300.02,91316.85
2026-01,5300.03,52437.3
2026-01,5400.01,89021.33
2026-01,5400.02,63214.54
2026-01,5400.03,73592.67
2026-01,5400.04,18924.2
2026-01,6100.01,253932.79
2026-01,6100.02,51765.04
2026-01,6100.03,95167.55
2026-01,6100.04,199505.5
2026-01,6100.05,20020.07
2026-01,6100.06,154011.31
2026-01,6100.07,28679.79
2026-01,7100.01,286049.81
2026-01,7100.02,49172.05
2026-01,7100.03,256335.33
2026-01,7100.04,169312.76
2026-01,7100.05,126789.65
2026-01,7100.06,34585.17
2026-01,7100.07,61069.45
2026-01,7100.08,104254.76
2026-01,7100.09,138105.96
2026-01,7100.10,77742.31
2026-01,8100.01,157829.32
2026-01,8100.02,75993.05
2026-01,8100.03,61505.32
2026-01,8100.04,43520.86
2026-01,8100.05,79127.24
2026-01,8100.06,30496.02
2026-01,8100.07,28370.14
2026-01,8100.08,21813.09
2026-01,9100.01,5822.09
2026-01,9100.02,1213.98
2026-01,9100.03,1808.17
2026-01,9100.04,811.94
2026-01,9100.05,3137.44
2026-02,5100.01,706061.14
2026-02,5100.02,480153.8
2026-02,5100.03,365085.16
2026-02,5100.04,409763.88
2026-02,5100.05,268134.99
2026-02,5100.06,211620.19
2026-02,5100.07,132773.97
2026-02,5100.08,59123.16
2026-02,5200.01,48809.17
2026-02,5200.02,16214.32
2026-02,5200.03,24475.61
2026-02,5300.01,261187.64
2026-02,5300.02,98488.28
2026-02,5300.03,55307.7
2026-02,5400.01,88361.54
2026-02,5400.02,64600.6
2026-02,5400.03,73556.42
2026-02,5400.04,18614.74
2026-02,6100.01,266150.82
2026-02,6100.02,52883.71
2026-02,6100.03,90083.69
2026-02,6100.04,205712.94
2026-02,6100.05,22742.18
2026-02,6100.06,148008.72
2026-02,6100.07,31619.69
2026-02,7100.01,293012.79
2026-02,7100.02,53823.72
2026-02,7100.03,295057.81
2026-02,7100.04,169926.88
2026-02,7100.05,129875.94
2026-02,7100.06,32058.21
2026-02,7100.07,62761.75
2026-02,7100.08,107637.02
2026-02,7100.09,135300.76
2026-02,7100.10,74686.69
2026-02,8100.01,168378.21
2026-02,8100.02,72323.03
2026-02,8100.03,61934.39
2026-02,8100.04,43046.52
2026-02,8100.05,83286.43
2026-02,8100.06,33771.31
2026-02,8100.07,27617.81
2026-02,8100.08,23746.81
2026-02,9100.01,5485.59
2026-02,9100.02,1364.92
2026-02,9100.03,1853.26
2026-02,9100.04,739.89
2026-02,9100.05,2918.4
2026-03,5100.01,691829.09
2026-03,5100.02,464059.42
2026-03,5100.03,339754.19
2026-03,5100.04,390829.66
2026-03,5100.05,261740.86
2026-03,5100.06,203526.67
2026-03,5100.07,128368.75
2026-03,5100.08,56487.05
2026-03,5200.01,46044.51
2026-03,5200.02,14958.59
2026-03,5200.03,23119.48
2026-03,5300.01,247264.29
2026-03,5300.02,89292.0
2026-03,5300.03,50760.7
2026-03,5400.01,86794.13
2026-03,5400.02,60286.68
2026-03,5400.03,72675.44
2026-03,5400.04,18346.21
2026-03,6100.01,247154.07
2026-03,6100.02,50352.42
2026-03,6100.03,88593.57
2026-03,6100.04,189427.92
2026-03,6100.05,21074.52
2026-03,6100.06,163780.21
2026-03,6100.07,30724.19
2026-03,7100.01,283723.69
2026-03,7100.02,46361.75
2026-03,7100.03,289749.01
2026-03,7100.04,165414.14
2026-03,7100.05,125758.61
2026-03,7100.06,31765.79
2026-03,7100.07,59999.33
2026-03,7100.08,101865.93
2026-03,7100.09,134976.12
2026-03,7100.10,73458.16
2026-03,8100.01,159402.33
2026-03,8100.02,79388.76
2026-03,8100.03,54405.56
2026-03,8100.04,43919.27
2026-03,8100.05,78675.68
2026-03,8100.06,30457.03
2026-03,8100.07,28881.71
2026-03,8100.08,21829.73
2026-03,9100.01,5303.94
2026-03,9100.02,1164.06
2026-03,9100.03,1843.14
2026-03,9100.04,773.21
2026-03,9100.05,3042.77
